Power,Rpm,Bpm,PedalBlob,HeelBlob,AnkleBlob,KneeBlob,KneeBlob2,HipBlob
96,80,114,11.4840169546699,79.6758878134749,138.976254188783,101.857663076797,78.1423369232026,31.0217539617036
96,80,115,59.9062461850765,90.7049870692535,151.376032619179,119.770713041047,60.2292869589529,58.719992262676
101,80,115,89.2075969584165,79.1171239192015,138.60538121408,67.7202341925908,112.279765807409,22.8705639837619
102,81,115,34.6328541881588,87.1146733745385,146.603388123481,127.970908855136,52.0290911448642,49.4589795501906
104,80,115,9.57387807061337,83.4581555968454,147.402489979806,95.4554066266547,84.5445933733453,49.7070632761631
109,81,115,53.9781530770413,80.4529537762025,138.707887892727,75.5544920323471,104.445507967653,18.3384887144459
109,81,115,81.1684525136818,91.2900435146192,149.84647651739,134.866267780005,45.1337322199952,61.0827026126989
107,83,115,62.0019261925273,78.8830142039831,140.621269598018,70.6267334617718,109.373266538228,31.1460223990739
95,85,115,17.4500282765003,82.930617113915,143.045506167964,119.600581143418,60.3994188565822,43.0923269847671
101,84,114,20.4169852264416,78.1666918543579,148.253585700635,100.303263127907,79.6967368720935,52.0280414276431
106,84,113,45.1182217675918,79.1757772999591,137.096963495031,80.7180485621299,99.2819514378701,20.3322955131821
103,82,113,60.6599872918161,79.9705790375811,143.238591222895,71.0191857385101,108.98081426149,30.4720617897874
98,82,113,18.4996732619199,84.5278666388202,144.484314421881,119.072051144377,60.9279488556234,42.3924795256179
94,83,113,16.0380216275773,76.7451285161721,145.872291854579,99.2774637432396,80.7225362567604,52.437785895316
95,85,112,45.7255659536527,79.9157170200046,137.56753759324,79.8832241951982,100.116775804802,19.8832194746451
99,85,113,33.3823074198707,80.9003444538383,144.974190249529,78.4358529535871,101.564147046413,38.6878518640993
99,82,112,12.6854391582505,78.5124675794885,138.941224885612,101.43127944548,78.5687205545202,30.5366489903137
111,81,113,46.3623332015911,87.2518885701011,149.186813957043,113.830630663554,66.1693693364462,57.4829902670307
108,83,113,63.317565913019,77.4971140918869,134.848746574385,72.6479754571491,107.352024542851,20.1998183448909
108,83,114,76.9547387129745,88.9711981930465,148.331526053518,137.408521496821,42.5914785031794,62.3399312772589
101,85,115,64.3946734759233,76.9535369323756,138.713948820195,70.065355565914,109.934644434086,31.544113600274
97,84,115,6.36398845661988,79.0035053810574,138.805377037025,114.511247926701,65.4887520732985,39.9462315949023
96,84,115,26.5280488247705,83.1564315386742,146.329957071389,104.049909984288,75.9500900157119,54.5354514739342
108,84,115,51.5096692380457,78.3558504413175,135.710171362468,77.2694953044112,102.730504695589,20.1740672858707
108,84,115,87.2909319301084,90.1801599157237,149.257623188029,134.760686620551,45.2393133794494,62.331378094486
106,84,115,72.9398325218517,77.1878590110414,140.654079925352,69.0166521741783,110.983347825822,28.3993321634385
99,83,115,27.0555808819623,83.9119135435524,144.394640162537,124.750996114131,55.2490038858688,47.2569279042581
93,83,115,25.9753278668248,84.2267671894367,148.02552258407,103.148259514587,76.8517404854133,53.6621906903249
102,82,115,50.8722098635617,5.08854649957285,83.4996244385354,174.401498032742,75.6972243806105,104.302775619389
102,81,115,80.9470288542324,93.034447993342,155.147780585587,132.30209748455,47.69790251545,58.4927182979894
108,81,115,71.7700014327536,87.1641929896668,150.891132021993,69.4611843505017,110.538815649498,24.318689454661
105,82,115,34.3372513601244,88.9004563991409,151.074204075186,124.259500524995,55.7404994750048,46.0647035667377
93,85,115,7.82171701514468,86.6875886527798,152.17626965435,86.2431439122594,93.7568560877406,42.3740037545896
93,84,115,30.5974821365442,88.6345255121899,148.587402503284,85.8385147175947,94.1614852824053,17.5516186351717
103,84,115,73.5533078988865,90.2238515565461,152.445899579014,125.111356228926,54.8886437710743,59.2194160869336
100,82,115,84.8223759513884,86.9996237419535,149.159420252401,67.7839083152197,112.21609168478,18.1266722099142
101,82,115,49.1034832668103,90.3987845573907,150.943526366372,130.527907581754,49.472092418246,52.2392881922589
110,81,114,20.799791293715,87.3956678932082,151.913828564475,81.504472346308,98.495527653692,38.5596522311879
103,84,113,52.2586330940597,18.5773457598679,114.470135963199,65.5298640368007,56.0841890444695,24.318689454661
121,84,111,48.5001557910115,88.8083233717044,149.600390041989,75.7532441441974,104.246755855803,13.7232516589975
121,84,110,77.5935463856215,92.7438791205161,155.200150433662,126.325077425613,53.6749225743869,58.5783047886716
111,87,111,84.03629623763,93.3006442143203,155.8198315302,128.471092781667,51.5289072183328,58.4932502909835
107,88,111,64.0976444839918,87.425824331092,147.095302676066,70.3827694835293,109.617230516471,14.8828207105621
107,87,112,82.963695860003,93.5176764767678,154.925565680465,132.095151552929,47.9048484470712,58.4680750297451
115,90,112,77.1343248865935,88.9894741590234,151.76846969349,68.7829502027649,111.217049797235,15.9771149126876
219,90,112,66.7706153041831,88.3019814990972,151.989590373245,70.3977057675626,109.602294232437,24.9622392579018
229,89,113,60.5920684407537,8.82414913369225,127.212763876666,52.7872361233336,48.8221390017246,26.6142215125235
233,86,113,32.9932406214816,87.5690352669804,152.364007942073,78.2433347540202,101.75666524598,35.1512844447954
233,86,114,0.167332849597504,88.539381198531,151.540921644636,105.23290852116,74.7670914788399,29.1072291017359
224,85,115,26.1702837445451,78.6737772744078,155.15831283048,101.932230537622,78.0677694623783,50.3145897836018
242,85,115,28.965383217134,86.9432229158084,147.825080168578,87.7025487082689,92.2974512917311,18.8418629009593
242,85,116,27.4909872325888,77.8556845699093,154.26354371271,104.055347064852,75.9446529351481,51.7350605857502
278,88,116,31.0618986661767,91.5523694796398,154.46496065194,122.158703727443,57.8412962725566,42.775530795887
278,92,116,63.7021698392371,86.1983375061149,147.492365909623,71.0675319443557,108.932468055644,15.0064945990739
260,97,116,13.6418427320443,87.1276738252459,153.144894632107,84.67583132137,95.32416867863,40.6075205763714
243,97,116,88.9019878997243,93.9378025620345,156.090378932112,131.768586969426,48.2314130305745,59.1915031098094
241,101,116,21.8995102768179,88.5184206948265,175.989973872498,4.01002612750179,68.6206954296959,23.7129211399214
211,104,116,47.0382261208758,83.975291393824,143.90586314667,76.7440168424383,103.255983157562,16.1874037672247
215,106,116,53.6197919769891,85.5182768660224,153.206599709339,72.9720437222944,107.027956277706,29.4752347053358
205,104,116,48.0178608829922,90.6912829739781,152.181915895484,128.857945660813,51.1420543391874,50.9544851711931
216,104,116,58.686597702176,87.8331814991828,147.757375677272,72.3964133570722,107.603586642928,14.1497036554219
220,104,116,12.9061849995595,80.6599164625384,151.707646221783,84.9438446981683,95.0561553018317,41.7422875168106
214,102,121,86.5296552059855,87.5728620628378,150.33439281648,68.0503602955574,111.949639704443,20.5274055667301
214,102,128,37.3414516872384,77.4287102980068,152.92312867605,108.264142867445,71.7358571325546,54.3351545575854
214,101,132,27.6675334977953,88.4159756898883,175.952698101979,4.04730189802149,69.2878634099774,50.3351545575854
222,101,132,63.8502655591937,87.5367760146412,148.798978220449,72.7154299434755,107.284570056525,17.6217678910136
217,100,132,79.5232788364567,9.57485579007383,135.444935640333,44.5550643596667,59.8593729074424,17.6217678910136
196,100,134,21.167410602125,4.43444436129997,90.5394877137434,89.4605122862566,21.9097626961484,17.6217678910136
209,100,136,21.0738772704256,82.7460953912008,151.723002160439,80.9951635812718,99.0048364187282,38.7314273021946
162,101,136,52.7737701653097,90.7114936913276,152.334392031827,131.267312382558,48.7326876174423,53.2213175104778
158,101,136,64.0353929619892,82.6683424499651,145.605063763294,71.1048610195202,108.89513898048,29.0835036664232
158,101,136,49.9120958709746,90.2657876909023,151.307186829196,130.398935523457,49.6010644765434,52.3269291248083
203,100,136,24.4521268220804,74.061767945571,144.801242372998,80.0826459328774,99.9173540671226,40.7669303806277
221,98,136,4.89086446468544,73.1751588010436,140.160664992968,104.746911835759,75.2530881642411,33.1190245815034
221,92,136,62.8947688781119,91.8512272400208,153.52733524259,120.560767460375,59.4392325396251,58.9892054206903
201,89,136,56.7326409243657,80.0734134539798,143.0367634339,72.2292878551085,107.770712144892,31.6655565636448
282,85,136,33.432116967682,83.8450498399332,145.983626569558,126.166259666056,53.8337403339439,48.2878259014037
182,85,136,21.6731897795044,76.5063611702848,148.217545826991,81.5248301707752,98.4751698292248,40.3345237224771
173,87,136,29.3280834757166,83.5118395438574,145.01651160919,123.636982931166,56.3630170688342,46.5204440393942
149,91,137,19.6489644949765,81.0075807839181,147.021561306831,81.8670360008185,98.1329639991815,41.2311178310295
159,90,137,27.0475019849081,81.2821913761556,142.430402003321,124.680081700089,55.319918299911,47.523895599099
152,89,137,5.18656369227883,72.2699123591566,141.088521401762,111.457381474169,68.5426185258306,37.5342580780915
167,88,136,5.49052724798648,7.54401077843052,91.8735162808072,88.1264837191928,48.5352094829767,37.5342580780915
149,89,136,4.97259961467042,79.4652023892034,142.466775405986,109.926395898653,70.073604101347,36.0437058102927
150,90,137,12.7196097298056,82.9353619917516,147.37137641824,95.0865280027924,84.9134719972076,50.3444069785165
154,89,138,3.62266364443948,74.8004851524679,142.322983149416,104.215798771311,75.7842012286885,32.1400124252044
154,89,138,38.7693628374277,78.9644677669833,148.933914620652,108.924680250948,71.0753197490525,56.55953341001
147,90,138,25.791080268415,76.4742990129521,142.398338451549,90.3447373754896,89.6552626245104,23.7129211399214
147,89,138,49.0326814638082,84.8041769715108,148.961257243285,114.706644252901,65.2933557470989,58.8329446575053
